ANO;AGREGACAO;CODIGO;NOME;IDHM;IDHM_L;IDHM_E;IDHM_R;I_ESCOLARIDADE;I_FREQ_PROP;IDHMAD;IDHMAD_L;IDHMAD_E;IDHMAD_R;ATK_ESPVIDA;ATK_ANOSEST;ATK_RDPC;IDHMAD_PERDA;IDHMAD_L_PERDA;IDHMAD_E_PERDA;IDHMAD_R_PERDA;IDHMAD_COEF;ESPVIDA;MORT1;T_ENV;RAZDEP;T_FREQ5A6;T_FUND11A13;T_FUND15A17;T_MED18A20;T_FUND18M;ANOSEST;T_ANALF15M;T_ANALF18M;T_ANALF25M;T_FREQ6A14;T_FREQ15A17;T_FREQ18A24;T_FUND18A24;T_FUND25M;T_MED25M;T_SUPER25M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FLBAS;T_FLFUND;T_FLMED;T_FLSUPER;RDPC;RDPCT;RENOCUP;PRENTRAB;RDPC1;RDPC2;RDPC3;RDPC4;RDPC5;RDPC10;R1040;R2040;GINI;THEIL;PIND;PMPOB;PPOB;RIND;RMPOB;RPOB;POPTOT;POP;POPT;POP5A6;POP6A14;POP6A17;POP11A13;POP15A17;POP15M;POP18A20;POP18A24;POP18M;POP25M;POP65M;POPOCUP18M
2016;UF;13;Amazonas;0.711;0.781;0.705;0.654;0.681;0.717;0.529;0.69;0.563;0.382;0.116;0.202;0.416;25.6;11.6;20.2;41.6;24.5;71.85;18.34;4.44;53.59;88.87;87.19;63.31;47.4;68.1;9.11;6.57;7.09;8.63;97.82;88.42;33.95;83.38;64.01;50.86;12.99;17.47;14.73;93.72;96.41;55.53;15.47;467.19;471.09;1055.32;80.44;74.39;160.98;256.67;430.34;1403.06;2098.96;17.83;11.92;0.558;0.552;8.63;25.19;49.94;44.93;85.69;139.84;3798072;3797253;3765820;135903;685385;914720;243958;229334;2641371;231095;508652;2412037;1903384;168444;1345277
2016;UF;14;Roraima;0.752;0.774;0.771;0.714;0.738;0.788;0.573;0.691;0.61;0.446;0.107;0.209;0.376;23.9;10.7;20.9;37.6;23.1;71.41;17.32;4.55;48.36;94.69;94.13;67.72;58.49;73.81;9.75;6.81;7.42;9.11;99.38;89.55;34.04;87.4;70.08;58.06;17.19;11.41;7.85;95.68;98.29;60.23;21.51;679.72;687.44;1388.22;84.58;115.55;246.79;391.34;658.33;1988.43;2851.02;15.74;10.98;0.537;0.511;4.1;11.85;31.12;27.49;83.38;151.66;467919;467850;462597;16910;76385;105349;25596;28963;336670;29340;66410;307706;241295;21267;193142
2016;UF;15;Pará;0.687;0.784;0.641;0.646;0.582;0.672;0.528;0.698;0.513;0.412;0.11;0.199;0.363;23.1;11;19.9;36.3;22.4;72.03;16.67;5.92;49.4;95.37;86.5;51.92;34.96;58.23;8.1;8.53;9.15;11.05;99.11;86.81;32.37;76.34;53.62;38.12;8.16;22.06;17.17;93.97;96.91;46;10.65;445.31;447.97;907.17;76.71;82.25;175.34;280.5;457.49;1229.98;1761.74;13.68;9.55;0.51;0.465;6.96;21.9;46.46;41.79;86.34;143.35;8293480;8289782;8240618;287532;1393155;1887282;459978;494126;6041786;505281;1126269;5547659;4421390;490763;3106553
2016;UF;16;Amapá;0.733;0.815;0.709;0.682;0.73;0.699;0.548;0.708;0.588;0.396;0.131;0.17;0.419;25.2;13.1;17;41.9;24;73.92;23.44;3.57;50.15;87.94;85.55;59.83;46.21;72.99;9.89;4.87;5.36;6.32;98.23;88.22;37.99;84.47;69.8;56.75;17.44;20.1;17.66;90.97;93.76;52.46;19.57;557.38;566.76;1316.87;84.77;80.49;186.18;308.15;541.1;1686.6;2354.65;17.66;12.65;0.554;0.549;7.49;20.42;42.36;33.98;81.41;139.52;788892;788494;775448;32375;138948;193842;41995;54894;553584;46432;108500;498690;390190;28168;282009
2016;UF;17;Tocantins;0.734;0.805;0.723;0.679;0.628;0.775;0.56;0.72;0.536;0.455;0.106;0.258;0.33;23.7;10.6;25.8;33;23.1;73.29;15.91;7.08;49.06;94.07;94.89;72.26;48.58;62.75;8.28;9.74;10.52;12.77;99.71;86.5;31.94;86.31;57.41;44.57;12.02;10.95;7.11;95.49;97.51;61.59;16.85;546.78;552.02;1074.66;78.18;107.4;231.39;360.82;562.72;1472.35;2055.48;12.13;8.69;0.489;0.423;4.49;13.01;33.7;33.91;81.88;149.69;1507623;1507124;1492827;45954;248429;341158;81501;92729;1118196;80817;189451;1025466;836015;106755;595780
2016;UF;21;Maranhão;0.68;0.759;0.673;0.615;0.546;0.747;0.497;0.661;0.483;0.384;0.129;0.282;0.375;26.9;12.9;28.2;37.5;26.2;70.54;21.48;7.23;55.34;97.98;90.3;64.59;46.06;54.59;7.25;15.72;17.05;20.52;98.93;88.05;25.63;80.27;48.56;35.04;6.9;16.22;12.23;95.5;97.07;57.61;10.94;367.42;371.34;768.2;69.68;56.39;143.94;239.83;377.17;1021.63;1457.08;14.55;10.2;0.517;0.489;12.9;28.75;53.4;41;75.54;130.45;6921259;6919851;6846743;265331;1208380;1623978;412517;415597;4956208;379821;863460;4540611;3677151;500712;2296259
2016;UF;22;Piauí;0.685;0.766;0.642;0.655;0.513;0.719;0.506;0.677;0.469;0.409;0.116;0.269;0.376;26.1;11.6;26.9;37.6;25.4;70.94;19.25;8.51;48.81;99.68;89.49;59.64;38.68;51.28;7.34;17.03;18.28;21.58;98.84;88.88;31.53;74.62;46.4;32.74;10.33;20.44;16.41;94.91;97.11;53.37;14.64;469.93;472.43;855.25;67.07;75.43;174.71;289.93;481.98;1328.3;1933.45;15.46;10.62;0.528;0.508;9.28;22.82;44.63;46.92;82.12;136.79;3246228;3244782;3227657;100609;490027;664987;163239;174960;2457602;176308;394555;2282642;1888086;276173;1191254
2016;UF;23;Ceará;0.722;0.812;0.708;0.656;0.585;0.779;0.533;0.732;0.516;0.401;0.098;0.271;0.389;26.2;9.8;27.1;38.9;25.3;73.72;14.48;8.64;46.66;98.01;93.45;68.16;51.93;58.53;7.65;14.19;15.16;17.98;98.81;84.32;25.4;83.36;53.09;37.11;8.7;11.97;8.47;93.8;97.04;59.22;14.42;473.32;478.29;886.61;69.24;70.42;176.88;285.97;453.46;1338.83;2073.36;16.77;10.83;0.543;0.539;9.98;21.93;45.11;40.49;76.06;136.65;8959457;8950696;8857702;265613;1280998;1776754;422357;495756;6882697;495120;1148133;6386941;5238807;773700;3297720
2016;UF;24;Rio Grande do Norte;0.732;0.844;0.676;0.687;0.576;0.732;0.554;0.766;0.521;0.427;0.093;0.229;0.379;24.3;9.3;22.9;37.9;23.4;75.62;14.74;8.6;45.2;98.6;89.07;57.66;47.27;57.64;8.26;14.1;14.98;17.57;98.34;84.5;30.58;79.07;53.53;41.22;11.55;15.76;11.1;93.09;97.17;50.72;17.48;573.92;577.86;1051.27;68.63;91.52;216.05;341.44;524.22;1702.47;2533.99;16.48;11.07;0.543;0.539;7.1;16.44;37.27;39.28;78.95;145.65;3422843;3420752;3397472;100759;478309;655212;169693;176902;2651803;162113;398583;2474900;2076317;294444;1278107
2016;UF;25;Paraíba;0.704;0.802;0.657;0.663;0.53;0.732;0.526;0.719;0.485;0.418;0.104;0.262;0.369;25.3;10.4;26.2;36.9;24.5;73.09;16.26;9.05;48.73;97.17;90.94;56.51;48.33;53.01;7.63;15.2;16.36;19.42;98.79;84.73;31.67;75.32;48.4;36.45;10.84;18.26;11.97;93.77;97.41;48.16;18.24;495.42;496.69;916.58;65.71;89.75;187.12;302.3;486.83;1404.45;2082.35;15.04;10.15;0.527;0.498;6.51;18.56;42.93;47.04;85.29;145.21;3932871;3928566;3918505;125629;566018;786486;207209;220467;3000347;206122;476155;2779880;2303724;356075;1390211
2016;UF;26;Pernambuco;0.724;0.813;0.69;0.677;0.586;0.748;0.537;0.741;0.52;0.402;0.089;0.247;0.406;25.9;8.9;24.7;40.6;24.7;73.78;12.72;8.69;44.55;98.98;89.15;63.35;47.83;58.58;8.13;12.51;13.36;15.57;98.99;84.48;27.88;80.33;54.35;41.24;11.53;17.69;13.11;93.17;96.71;51.11;15.24;540.06;549.47;1081.74;71.66;75.05;187.61;305.39;493.27;1638.71;2498.41;19.02;12.48;0.567;0.579;8.53;20.11;41.91;34.95;75.31;136.58;9320464;9314887;9155380;259873;1273063;1782428;424011;509364;7258274;476262;1098923;6748910;5649987;810314;3323178
2016;UF;27;Alagoas;0.68;0.776;0.635;0.637;0.523;0.7;0.491;0.683;0.448;0.387;0.12;0.294;0.393;27.8;12;29.4;39.3;26.9;71.54;19.67;7.58;47.67;94.62;86.75;56.26;42.31;52.28;7.21;17.68;18.99;22.37;98.28;81.36;29.49;72.87;47.81;34.04;9.55;20.81;16.25;92.31;95.89;46.95;13.87;422.39;427.71;878.23;67.04;64.91;165.84;261.53;431.17;1193.46;1718.41;14.89;10.34;0.523;0.5;10.84;23.44;48.79;36.53;74.38;135.45;3286849;3284243;3243464;102377;513598;709811;180604;196213;2475023;188954;406568;2278809;1872241;249250;1055125
2016;UF;28;Sergipe;0.697;0.793;0.625;0.683;0.544;0.67;0.504;0.71;0.467;0.386;0.105;0.253;0.435;27.7;10.5;25.3;43.5;26.4;72.55;16.3;7.37;43.45;96.76;83.02;51.56;36.77;54.44;7.89;14.61;15.57;18.53;98.72;85.8;30.05;72.87;50.58;37.96;11.44;24.42;18.5;94.29;97.8;47.15;14.75;560.5;569.37;1079.82;74.04;76.9;185.72;312.2;521.07;1716.07;2576.17;19.62;13.07;0.567;0.581;8.55;20.15;41.9;35.71;77.34;136.5;2236783;2234265;2199450;60176;309909;430654;110236;120745;1724234;118876;277692;1603489;1325796;164917;856702
2016;UF;29;Bahia;0.705;0.807;0.656;0.662;0.554;0.714;0.522;0.718;0.485;0.408;0.11;0.261;0.383;26;11;26.1;38.3;25.1;73.4;17.47;8.09;45.98;98.04;89.35;56.03;42.24;55.41;7.75;12.93;13.91;16.38;99.07;85.08;32.71;78.05;50.99;38.97;8.79;22.92;17.43;94.16;97.2;47.11;13.17;490.75;495.06;887.1;69;75.83;180.65;296.16;484.61;1415.49;2094.28;16.33;11.04;0.539;0.532;8.96;20.91;43.76;39.4;78.55;137.94;14670485;14663570;14535993;424379;2118125;2965512;771312;847386;11236185;765408;1698058;10388798;8690740;1186513;5569527
2016;UF;31;Minas Gerais;0.776;0.871;0.739;0.725;0.614;0.811;0.625;0.805;0.619;0.489;0.076;0.163;0.326;19.5;7.6;16.3;32.6;18.8;77.23;10.95;9.28;42.85;96.75;96.12;71.98;59.59;61.36;8.82;5.9;6.24;7.29;98.97;88.19;29.16;87.46;56.24;42.45;13.32;8.63;5.14;94.94;97.71;65.18;20.34;728.6;735.36;1179.42;72.4;146.93;315.16;487.63;720.19;1973.12;2837.75;12.28;8.54;0.491;0.425;3.19;7.69;21.7;30.65;76.12;154.76;20769869;20761277;20570211;544012;2536855;3524610;840927;987754;16467241;1076432;2542310;15479487;12937176;1927261;9241067
2016;UF;32;Espírito Santo;0.779;0.887;0.732;0.727;0.654;0.774;0.618;0.823;0.604;0.475;0.072;0.175;0.346;20.6;7.2;17.5;34.6;19.8;78.22;8.81;8.47;41.89;96.66;91.9;67.48;53.46;65.4;9.16;5.59;5.95;6.97;99.17;85.11;30.23;87.45;61.33;47.61;14.35;15.23;12.13;93.91;97.16;57.24;20.31;738.04;750.33;1288.91;75.41;137.12;298.43;469.83;717.71;2067.83;2962.28;13.6;9.5;0.51;0.451;3.86;8.21;23.9;24.89;70.06;153.85;3875864;3874829;3811387;99158;485833;673133;165355;187300;3059989;186627;447370;2872689;2425318;328364;1666621
2016;UF;33;Rio de Janeiro;0.789;0.853;0.757;0.761;0.739;0.766;0.633;0.785;0.658;0.492;0.08;0.131;0.354;19.8;8;13.1;35.4;18.8;76.18;11.55;11.63;42.17;97.06;88.96;65.19;55.05;73.91;10.18;2.62;2.75;3.12;98.98;88.96;33.93;87.71;71.65;55.69;18.59;18.64;15.29;95.11;97.23;57.95;20.27;909.43;924.7;1554.39;74.36;162.07;350.23;547.6;876.55;2624.58;3773.94;14.73;10.25;0.525;0.476;2.96;6.33;18.71;17.75;68.22;153.38;16947230;16935873;16656249;392749;1868141;2629095;668888;760953;13892222;813114;1845746;13131269;11285522;1971632;7353717
2016;UF;35;São Paulo;0.835;0.885;0.837;0.787;0.755;0.882;0.681;0.825;0.731;0.524;0.068;0.127;0.334;18.5;6.8;12.7;33.4;17.6;78.07;9.89;9.09;41.41;97.72;96.6;85.74;72.9;75.47;10.39;2.66;2.79;3.19;99.32;88.16;29.78;94.27;72.44;58.48;21.74;5.88;4.34;95.57;94.86;74.7;22.97;1072.88;1086.01;1790.18;79.12;202.57;418.04;633.99;1005.5;3119.31;4513.19;14.54;10.05;0.524;0.475;2.12;4.2;13.11;16.67;63.83;156.59;44754215;44723031;44182181;1133934;5556919;7611116;1791858;2054197;35718385;2063073;4678698;33664187;28985489;4069747;21140920
2016;UF;41;Paraná;0.797;0.867;0.773;0.756;0.681;0.824;0.65;0.806;0.638;0.533;0.07;0.174;0.295;18.5;7;17.4;29.5;18;77.02;9.35;8.78;41.99;97.14;92.99;78.67;60.83;68.06;9.3;4.03;4.29;4.98;98.98;84.56;31.01;88.59;64.16;48.22;17.14;8.73;7.11;92.99;95.29;64;22.12;884.45;892.25;1466.99;78.09;194.58;395.39;596.14;889.09;2348.95;3320.07;11.25;7.96;0.476;0.392;1.64;4.81;14.53;20.84;82.42;162.59;11162815;11159985;11062410;294448;1430231;1991983;506018;561751;8841794;544117;1321164;8280042;6958877;980198;5223980
2016;UF;42;Santa Catarina;0.814;0.902;0.785;0.763;0.686;0.84;0.688;0.843;0.681;0.568;0.065;0.133;0.255;15.5;6.5;13.3;25.5;15.1;79.09;9.23;8.65;40.54;97.22;97.28;76.24;65.28;68.64;9.49;2.69;2.85;3.31;99.63;85.57;31.68;92.04;64.34;47.09;16.07;8.27;5.21;94.04;98.09;61.62;24.26;921.16;928;1454.21;77.17;244.31;480.13;677.66;982.13;2222.69;2994.58;8.27;6.14;0.421;0.306;1.45;2.86;9.61;19.96;65.56;163.45;6882511;6878656;6827984;187186;813839;1133772;267454;319932;5492313;328015;803332;5172380;4369048;595091;3339080
2016;UF;43;Rio Grande do Sul;0.789;0.88;0.722;0.772;0.652;0.76;0.656;0.819;0.635;0.543;0.069;0.121;0.297;16.8;6.9;12.1;29.7;16.2;77.77;9.64;10.66;42.4;91.95;94.17;63.53;54.36;65.22;9.58;2.88;3.02;3.42;99.16;87.05;33.1;86.81;61.76;46.14;15.15;14.41;9.52;93.64;98.54;54.34;23.88;976.02;982.73;1506.68;73.38;212.91;439.6;654.45;997.4;2575.96;3611.13;11.07;7.9;0.473;0.391;1.7;3.93;11.92;28.04;76.28;160.17;11211227;11205041;11128523;267335;1286312;1830685;439228;544373;9067597;452955;1176889;8523224;7346334;1194756;5296675
2016;UF;50;Mato Grosso do Sul;0.758;0.842;0.698;0.741;0.618;0.742;0.615;0.764;0.579;0.527;0.093;0.17;0.289;18.8;9.3;17;28.9;18.4;75.49;14.12;7.66;45.15;94.97;92.12;62.92;46.89;61.77;9.09;4.97;5.26;6.21;99.21;84.04;35.24;81.23;57.88;44.52;15.3;13.14;9.15;93.79;97.5;50.92;22.05;805.71;809.51;1354.09;79.24;184.78;365.36;545.03;808.43;2123.92;2967.88;10.79;7.72;0.47;0.382;1.1;4.45;17.35;23.99;87.34;172.15;2618029;2617170;2604908;86507;367516;485875;131390;118359;2004173;134794;313882;1885813;1571931;200511;1226579
2016;UF;51;Mato Grosso;0.769;0.82;0.766;0.725;0.66;0.826;0.61;0.735;0.599;0.516;0.104;0.218;0.288;20.7;10.4;21.8;28.8;20.3;74.2;17;6.8;44.51;94.77;96.09;82.44;57.02;66.04;8.64;6.17;6.62;7.9;99.55;86.14;30.73;92.48;60.67;43.67;13.72;7.55;5.69;95.1;97.54;69.83;19.39;727.13;735.65;1339.42;82.29;172.63;344.61;520.01;751.76;1851.12;2560.47;9.9;7.16;0.453;0.352;2.22;5.28;18.74;18.49;75.76;164.54;3305274;3304672;3266400;92627;476366;648592;168462;172226;2512127;165360;395170;2339901;1944730;224904;1463443
2016;UF;52;Goiás;0.764;0.818;0.754;0.724;0.655;0.809;0.612;0.738;0.614;0.505;0.098;0.186;0.302;20;9.8;18.6;30.2;19.5;74.09;15.02;7.32;43.44;94.86;95.29;72.37;61.19;65.49;9.04;5.61;5.98;7.07;98.75;88.11;31.36;89.99;60.58;45.65;15;10.74;7.26;95.18;97.17;62.41;20.95;722.67;732.41;1263.83;79.59;163.12;331.45;499.28;724.91;1888.78;2656.95;10.74;7.64;0.467;0.374;2.88;5.77;18.9;21.74;66.94;157.31;6725748;6723531;6634062;213484;920354;1246988;316585;326634;5180785;333254;810344;4854151;4043806;491994;3037029
2016;UF;53;Distrito Federal;0.847;0.884;0.822;0.836;0.813;0.826;0.665;0.82;0.713;0.502;0.072;0.132;0.4;21.5;7.2;13.2;40;20.1;78.02;10.57;6.38;38.42;93.95;96.23;73.28;66.88;81.26;11.19;2.57;2.71;3.17;98.98;94.13;37.61;91.3;79.3;66.02;30.92;9.36;6.7;96.11;97.79;66.66;28.08;1456.83;1468.94;2361.41;76.4;192.19;419.93;714.37;1425.69;4544.73;6354.16;20.76;14.85;0.578;0.615;1.48;4.41;15.16;20.77;82.71;162.97;2890224;2883848;2860081;84598;378303;510845;129153;132542;2272291;139319;348978;2139749;1790771;184252;1357349
2017;UF;11;Rondônia;0.721;0.775;0.699;0.693;0.598;0.756;0.571;0.684;0.559;0.486;0.118;0.2;0.299;20.9;11.8;20;29.9;20.6;71.5;19.7;6.27;43.6;93.17;92.24;67.86;49.13;59.81;8.36;6.62;7.12;8.56;99.28;84.91;32.56;83.83;54.42;39.52;10.99;14.35;10.47;94.01;98.12;56.73;18.6;596.82;604.22;1136.58;79.97;134.99;281.06;437.41;646.99;1479.37;2025.83;9.74;7.11;0.447;0.354;3.81;8.64;25.81;26.57;73.83;157.59;1727248;1727248;1706110;47756;249695;345083;88489;95388;1311112;103689;222754;1215723;992969;108293;720944
2017;UF;12;Acre;0.712;0.82;0.671;0.655;0.593;0.714;0.515;0.736;0.491;0.379;0.103;0.268;0.422;27.6;10.3;26.8;42.2;26.4;74.2;16.44;5.28;52.46;87.24;85.99;65.44;46.91;59.32;8.04;12.08;13.23;16.18;96.3;81.53;33.54;81.59;53.2;41.28;12.34;14.61;12.19;89.71;94.69;52.71;17.8;471.65;477.78;1047.46;73.12;62.5;158.82;278.66;496.18;1375.24;1940.63;17.54;12.43;0.545;0.548;11.81;26.43;47.43;41.38;77.3;128.91;840491;840033;829269;33576;150371;206814;53327;56443;595680;53800;116269;539237;422967;44382;275714
2017;UF;13;Amazonas;0.728;0.785;0.732;0.672;0.684;0.758;0.54;0.696;0.6;0.378;0.114;0.181;0.438;25.8;11.4;18.1;43.8;24.4;72.08;17.8;5.15;50.49;94.28;90.79;67;51.08;68.38;9.49;6.37;6.87;8.23;99.06;87.94;34.28;81.3;65.11;53.08;14.16;15.15;11.85;95.26;97.68;59.1;17.32;523.38;532.53;1178.89;80.21;68.08;166.19;271.64;451.89;1662.43;2522.48;21.53;14.19;0.591;0.63;9.47;23.72;47.54;36.9;77.77;135.82;3859229;3857781;3791537;141350;668781;897208;227377;228426;2763320;218097;511638;2534893;2023255;198811;1369450
2017;UF;14;Roraima;0.746;0.779;0.764;0.697;0.73;0.782;0.573;0.696;0.627;0.432;0.106;0.179;0.38;23.1;10.6;17.9;38;22.2;71.71;17.13;4.45;49.24;96.66;91.4;69.81;54.83;73.01;9.97;5.89;6.4;8.03;99.05;87.55;31.05;90.43;68.5;55.59;17.95;12.42;9.18;94.61;97.52;61.3;20.2;613.07;623.52;1291.67;83.12;109.17;231.36;359.57;605.7;1759.75;2475.84;14.54;10.34;0.526;0.479;5.17;11.41;34.17;29.75;70.86;152.48;486747;486040;477892;17282;84050;114496;28502;30446;347822;28127;65370;317376;252006;21665;191189
2017;UF;15;Pará;0.694;0.787;0.657;0.647;0.595;0.691;0.537;0.702;0.528;0.418;0.108;0.196;0.354;22.6;10.8;19.6;35.4;21.9;72.22;16.18;5.67;48.19;94.91;86.15;54.03;41.24;59.52;8.33;8.58;9.24;11.07;98.78;85.67;32.44;77.58;55.16;40.07;8.71;22.02;17.18;93.18;96.86;47.8;12.74;447.25;451.92;898.09;76.26;80.56;181.39;288.35;457.9;1228.87;1763.41;13.46;9.38;0.506;0.457;7.93;20.54;44.82;41.19;81.8;142.64;8381474;8376486;8289919;285986;1405497;1914177;486460;508680;6131197;491736;1094002;5622517;4528515;475460;3160071
2017;UF;16;Amapá;0.732;0.82;0.7;0.683;0.701;0.7;0.547;0.713;0.58;0.395;0.13;0.172;0.421;25.3;13;17.2;42.1;24.1;74.18;23.23;4.14;48.37;81.03;85.91;64.51;48.4;70.06;9.62;5.46;5.91;7.6;98.24;89.13;38.07;84.35;65.76;51.17;15.4;20.32;16.01;93.92;96.73;55.92;20.84;561.52;568.87;1356.4;85.71;81.62;177.15;276.27;473.09;1801.99;2695.35;20.83;13.93;0.589;0.623;7.88;21.61;47.28;37.18;86.29;146.49;805344;804968;794571;30949;131299;179364;47139;48065;576107;58005;122209;528041;405832;33309;285091
2017;UF;17;Tocantins;0.74;0.809;0.729;0.687;0.631;0.783;0.572;0.726;0.558;0.462;0.103;0.234;0.327;22.7;10.3;23.4;32.7;22.1;73.56;15.44;7.99;47.89;97.42;93.46;69.63;52.72;63.1;8.7;9.7;10.44;12.41;99.6;90.42;35.34;88.8;57.72;45.59;14.3;12.47;8.24;96.49;97.99;61.43;16.78;575.58;581.73;1084.61;74.59;115.31;243.64;376.04;581.68;1565.2;2234.87;12.45;8.72;0.495;0.431;4.48;11.66;32.37;32.72;82.22;154.18;1524403;1524148;1508034;47654;233835;316749;78611;82914;1152547;80805;184889;1069632;884743;121764;601009
2017;UF;21;Maranhão;0.685;0.764;0.684;0.616;0.557;0.758;0.5;0.669;0.492;0.38;0.125;0.28;0.383;27;12.5;28;38.3;26.3;70.83;20.49;7.11;53.53;97.69;91.89;64.27;49.35;55.7;7.45;15.73;16.96;20.28;99.15;84.83;26.17;80.64;50.17;35.86;7.72;15.19;11.53;94.73;97.13;54.7;12.37;370.74;377.31;791.13;68.23;50.43;142.18;237.56;380.95;1041.48;1486.9;15.44;10.81;0.526;0.507;14.57;29.24;53.59;38.29;71.76;127.2;6960070;6957710;6836632;246748;1226523;1636171;423584;409647;5028268;392654;838271;4618621;3780349;494995;2212110
2017;UF;22;Piauí;0.694;0.769;0.665;0.653;0.536;0.74;0.51;0.681;0.492;0.395;0.114;0.26;0.395;26.5;11.4;26;39.5;25.6;71.12;18.66;9.13;49.42;98.99;89.92;57.61;49.64;53.63;7.55;16.3;17.47;20.59;99.76;89.12;35.32;80.1;48.43;34.06;10.62;17.66;12.38;95.39;98.85;51.04;18.39;464.7;467.53;830.19;63.91;65.88;171.81;290.98;480.89;1301.61;1879.59;15.82;10.95;0.529;0.522;11.45;23.49;44.77;44.84;75.1;131.21;3254626;3249954;3230269;105204;481859;652777;166838;170918;2475405;161884;378915;2304486;1925570;297182;1157843
2017;UF;23;Ceará;0.73;0.816;0.715;0.666;0.585;0.791;0.541;0.738;0.535;0.402;0.096;0.252;0.396;25.8;9.6;25.2;39.6;24.8;73.94;13.86;9.2;46.82;98.91;95.33;67.73;54.5;58.51;8.04;13.19;14.07;16.75;99.06;86.61;26.49;82.77;53.38;39.84;10.02;11.25;7.25;94.63;97.78;59.38;16.76;503.66;508.39;938.11;69.65;73.53;184.64;299.35;483.09;1469.46;2205.11;17.08;11.38;0.547;0.548;9.47;20.72;43.05;40.84;75.8;138.01;9015354;9009590;8925829;252279;1239118;1709552;448506;470433;6969352;465068;1134474;6498919;5364444;828964;3360510
2017;UF;24;Rio Grande do Norte;0.728;0.848;0.677;0.672;0.568;0.739;0.55;0.772;0.529;0.407;0.09;0.218;0.394;24.4;9;21.8;39.4;23.4;75.87;14.13;8.93;44.05;99.25;91.52;56.84;47.8;56.75;8.25;12.98;13.84;16.36;99.1;87.66;34.38;77.97;52.47;40.42;11.78;18.46;12.84;94.43;97.26;51.2;19.41;524.68;531.45;967.48;65.55;79.49;201.65;332.06;526.53;1477.88;2120.44;15.08;10.51;0.523;0.503;8.38;18.87;38.57;35.86;75.47;136.09;3450669;3449520;3405600;98575;458998;638723;169033;179724;2703614;182057;423632;2523890;2100257;308227;1223055
2017;UF;25;Paraíba;0.717;0.807;0.671;0.682;0.533;0.753;0.531;0.725;0.492;0.419;0.101;0.267;0.385;26;10.1;26.7;38.5;25.1;73.39;15.46;9.74;48.11;98.17;93.02;58.19;51.89;53.25;7.8;16.23;17.37;20.26;98.97;85.62;30.67;75.17;49.06;38.52;12.64;17.21;11.89;93.79;96.57;51.63;19.38;557.71;560.37;1023.6;67.76;88.27;206.21;321.07;520.16;1650.15;2477.42;16.83;11.21;0.548;0.544;7.5;17.49;39.32;45.53;79.88;145.49;3953448;3951897;3933187;116566;538728;754081;174081;215353;3054273;204303;455205;2838919;2383714;384982;1455930
2017;UF;26;Pernambuco;0.722;0.819;0.684;0.671;0.577;0.744;0.539;0.748;0.525;0.399;0.087;0.232;0.405;25.3;8.7;23.2;40.5;24.1;74.16;12.21;9.41;45.7;98.99;87.7;60.93;50.07;57.73;8.31;12.15;13.03;15.15;98.69;84.59;26.96;79.38;53.58;41.68;11.39;17.12;13.09;92.85;96.72;52.16;13.54;520.08;526.98;1017.58;68.88;70.78;185.24;310.67;504.7;1525.89;2266.06;17.7;11.92;0.551;0.561;10.31;21.13;41.91;37.72;74.57;133.79;9377552;9369386;9246681;267687;1296564;1828148;451927;531584;7318755;480434;1090165;6787170;5697004;882580;3285937
2017;UF;27;Alagoas;0.679;0.782;0.634;0.631;0.513;0.705;0.494;0.691;0.456;0.382;0.116;0.28;0.395;27.2;11.6;28;39.5;26.4;71.9;18.48;8.32;48;95.45;88.26;57.33;41.09;51.26;7.31;17.49;18.72;21.97;98.49;82.46;28.84;72.83;46.77;33.67;9.17;19.47;14.42;93.1;96.85;48.16;13.23;405.8;411.9;855.61;62.92;58.21;159.84;261.39;413.2;1139.87;1652.86;15.16;10.46;0.525;0.507;12.4;25.63;49.51;36.56;73.12;130.93;3300736;3298778;3249887;103392;497024;685065;174974;188041;2504737;179058;399556;2316695;1917139;274566;980358
2017;UF;28;Sergipe;0.699;0.797;0.639;0.67;0.553;0.687;0.514;0.716;0.488;0.389;0.102;0.237;0.42;26.5;10.2;23.7;42;25.3;72.8;15.53;7.52;44.61;96.59;89.98;48.43;39.88;55.34;8.06;13.65;14.54;17.13;98.57;88.23;29.96;72.68;51.92;38.78;11.16;21.75;15.04;94.18;97.27;43.76;14.79;516.97;526.5;988.67;69.8;66.99;181.45;309.82;506.94;1520.27;2214.94;17.83;12.24;0.551;0.555;10.62;21.61;42.46;36.67;72;131.17;2256916;2254639;2213837;70852;328020;444417;117584;116397;1730375;111377;265152;1613978;1348825;169690;820434
2017;UF;29;Bahia;0.71;0.811;0.655;0.675;0.563;0.707;0.517;0.723;0.491;0.39;0.108;0.251;0.422;27.2;10.8;25.1;42.2;26;73.64;16.76;8.34;45.84;96.95;88.32;55.35;42.03;56.27;8.01;12.12;12.9;15.03;98.56;85.99;30.91;75.88;52.47;40.72;9.53;21.16;16.01;94.25;96.85;48.83;12.31;534.64;544.32;1011.17;70.89;62.52;172.07;289.38;481.73;1628.44;2592.59;22.1;13.88;0.59;0.642;11.91;23.29;45.32;38.31;72.25;131.54;14730620;14727205;14465211;451385;2105472;2854952;700639;749479;11329132;763627;1717506;10579653;8862146;1228936;5499761
